la;mu;beta_n;beta_phi;gamma_n;gamma_phi;age;model;metric;offset
0,8;0,0;-0,001;0,001;0,001;0,001;10;dsde2;ed;none
0,5;0,1;-0,001;0,001;0,001;0,001;10;dsde2;ed;none
0,8;0,1;-0,001;0,001;0,001;0,001;10;dsde2;ed;none
0,5;0,2;-0,001;0,001;0,001;0,001;10;dsde2;ed;none
0,8;0,2;-0,001;0,001;0,001;0,001;10;dsde2;ed;none
0,5;0,0;0,000;0,001;0,001;0,001;10;dsde2;ed;none
0,8;0,0;0,000;0,001;0,001;0,001;10;dsde2;ed;none
0,5;0,1;0,000;0,001;0,001;0,001;10;dsde2;ed;none
0,8;0,1;0,000;0,001;0,001;0,001;10;dsde2;ed;none
0,5;0,2;0,000;0,001;0,001;0,001;10;dsde2;ed;none
0,8;0,2;0,000;0,001;0,001;0,001;10;dsde2;ed;none
0,5;0,0;-0,001;-0,001;-0,001;-0,001;15;dsde2;ed;none
0,8;0,0;-0,001;-0,001;-0,001;-0,001;15;dsde2;ed;none
0,5;0,1;-0,001;-0,001;-0,001;-0,001;15;dsde2;ed;none
0,8;0,1;-0,001;-0,001;-0,001;-0,001;15;dsde2;ed;none
0,5;0,2;-0,001;-0,001;-0,001;-0,001;15;dsde2;ed;none
0,8;0,2;-0,001;-0,001;-0,001;-0,001;15;dsde2;ed;none
0,5;0,0;0,000;-0,001;-0,001;-0,001;15;dsde2;ed;none
0,8;0,0;0,000;-0,001;-0,001;-0,001;15;dsde2;ed;none
0,5;0,1;0,000;-0,001;-0,001;-0,001;15;dsde2;ed;none
0,8;0,1;0,000;-0,001;-0,001;-0,001;15;dsde2;ed;none
0,5;0,2;0,000;-0,001;-0,001;-0,001;15;dsde2;ed;none
0,8;0,2;0,000;-0,001;-0,001;-0,001;15;dsde2;ed;none
0,5;0,0;-0,001;0,000;-0,001;-0,001;15;dsde2;ed;none
0,8;0,0;-0,001;0,000;-0,001;-0,001;15;dsde2;ed;none
0,5;0,1;-0,001;0,000;-0,001;-0,001;15;dsde2;ed;none
0,8;0,1;-0,001;0,000;-0,001;-0,001;15;dsde2;ed;none
0,5;0,2;-0,001;0,000;-0,001;-0,001;15;dsde2;ed;none
0,8;0,2;-0,001;0,000;-0,001;-0,001;15;dsde2;ed;none
0,5;0,0;0,000;0,000;-0,001;-0,001;15;dsde2;ed;none
0,8;0,0;0,000;0,000;-0,001;-0,001;15;dsde2;ed;none
0,5;0,1;0,000;0,000;-0,001;-0,001;15;dsde2;ed;none
0,8;0,1;0,000;0,000;-0,001;-0,001;15;dsde2;ed;none
0,5;0,2;0,000;0,000;-0,001;-0,001;15;dsde2;ed;none
0,8;0,2;0,000;0,000;-0,001;-0,001;15;dsde2;ed;none
0,5;0,0;-0,001;0,001;-0,001;-0,001;15;dsde2;ed;none
0,8;0,0;-0,001;0,001;-0,001;-0,001;15;dsde2;ed;none
0,5;0,1;-0,001;0,001;-0,001;-0,001;15;dsde2;ed;none
0,8;0,1;-0,001;0,001;-0,001;-0,001;15;dsde2;ed;none
0,5;0,2;-0,001;0,001;-0,001;-0,001;15;dsde2;ed;none
0,8;0,2;-0,001;0,001;-0,001;-0,001;15;dsde2;ed;none
0,5;0,0;0,000;0,001;-0,001;-0,001;15;dsde2;ed;none
0,8;0,0;0,000;0,001;-0,001;-0,001;15;dsde2;ed;none
0,5;0,1;0,000;0,001;-0,001;-0,001;15;dsde2;ed;none
0,8;0,1;0,000;0,001;-0,001;-0,001;15;dsde2;ed;none
0,5;0,2;0,000;0,001;-0,001;-0,001;15;dsde2;ed;none
0,8;0,2;0,000;0,001;-0,001;-0,001;15;dsde2;ed;none
0,5;0,0;-0,001;-0,001;0,001;-0,001;15;dsde2;ed;none
0,8;0,0;-0,001;-0,001;0,001;-0,001;15;dsde2;ed;none
0,5;0,1;-0,001;-0,001;0,001;-0,001;15;dsde2;ed;none
0,8;0,1;-0,001;-0,001;0,001;-0,001;15;dsde2;ed;none
0,5;0,2;-0,001;-0,001;0,001;-0,001;15;dsde2;ed;none
0,8;0,2;-0,001;-0,001;0,001;-0,001;15;dsde2;ed;none
0,5;0,0;0,000;-0,001;0,001;-0,001;15;dsde2;ed;none
0,8;0,0;0,000;-0,001;0,001;-0,001;15;dsde2;ed;none
0,5;0,1;0,000;-0,001;0,001;-0,001;15;dsde2;ed;none
0,8;0,1;0,000;-0,001;0,001;-0,001;15;dsde2;ed;none
0,5;0,2;0,000;-0,001;0,001;-0,001;15;dsde2;ed;none
0,8;0,2;0,000;-0,001;0,001;-0,001;15;dsde2;ed;none
0,5;0,0;-0,001;0,000;0,001;-0,001;15;dsde2;ed;none
0,8;0,0;-0,001;0,000;0,001;-0,001;15;dsde2;ed;none
0,5;0,1;-0,001;0,000;0,001;-0,001;15;dsde2;ed;none
0,8;0,1;-0,001;0,000;0,001;-0,001;15;dsde2;ed;none
0,5;0,2;-0,001;0,000;0,001;-0,001;15;dsde2;ed;none
0,8;0,2;-0,001;0,000;0,001;-0,001;15;dsde2;ed;none
0,5;0,0;0,000;0,000;0,001;-0,001;15;dsde2;ed;none
0,8;0,0;0,000;0,000;0,001;-0,001;15;dsde2;ed;none
0,5;0,1;0,000;0,000;0,001;-0,001;15;dsde2;ed;none
0,8;0,1;0,000;0,000;0,001;-0,001;15;dsde2;ed;none
0,5;0,2;0,000;0,000;0,001;-0,001;15;dsde2;ed;none
0,8;0,2;0,000;0,000;0,001;-0,001;15;dsde2;ed;none
0,5;0,0;-0,001;0,001;0,001;-0,001;15;dsde2;ed;none
0,8;0,0;-0,001;0,001;0,001;-0,001;15;dsde2;ed;none
0,5;0,1;-0,001;0,001;0,001;-0,001;15;dsde2;ed;none
0,8;0,1;-0,001;0,001;0,001;-0,001;15;dsde2;ed;none
0,5;0,2;-0,001;0,001;0,001;-0,001;15;dsde2;ed;none
0,8;0,2;-0,001;0,001;0,001;-0,001;15;dsde2;ed;none
0,5;0,0;0,000;0,001;0,001;-0,001;15;dsde2;ed;none
0,8;0,0;0,000;0,001;0,001;-0,001;15;dsde2;ed;none
0,5;0,1;0,000;0,001;0,001;-0,001;15;dsde2;ed;none
0,8;0,1;0,000;0,001;0,001;-0,001;15;dsde2;ed;none
0,5;0,2;0,000;0,001;0,001;-0,001;15;dsde2;ed;none
0,8;0,2;0,000;0,001;0,001;-0,001;15;dsde2;ed;none
0,5;0,0;-0,001;-0,001;-0,001;0,000;15;dsde2;ed;none
0,8;0,0;-0,001;-0,001;-0,001;0,000;15;dsde2;ed;none
0,5;0,1;-0,001;-0,001;-0,001;0,000;15;dsde2;ed;none
0,8;0,1;-0,001;-0,001;-0,001;0,000;15;dsde2;ed;none
0,5;0,2;-0,001;-0,001;-0,001;0,000;15;dsde2;ed;none
0,8;0,2;-0,001;-0,001;-0,001;0,000;15;dsde2;ed;none
0,5;0,0;0,000;-0,001;-0,001;0,000;15;dsde2;ed;none
0,8;0,0;0,000;-0,001;-0,001;0,000;15;dsde2;ed;none
0,5;0,1;0,000;-0,001;-0,001;0,000;15;dsde2;ed;none
0,8;0,1;0,000;-0,001;-0,001;0,000;15;dsde2;ed;none
0,5;0,2;0,000;-0,001;-0,001;0,000;15;dsde2;ed;none
0,8;0,2;0,000;-0,001;-0,001;0,000;15;dsde2;ed;none
0,5;0,0;-0,001;0,000;-0,001;0,000;15;dsde2;ed;none
0,8;0,0;-0,001;0,000;-0,001;0,000;15;dsde2;ed;none
0,5;0,1;-0,001;0,000;-0,001;0,000;15;dsde2;ed;none
0,8;0,1;-0,001;0,000;-0,001;0,000;15;dsde2;ed;none
0,5;0,2;-0,001;0,000;-0,001;0,000;15;dsde2;ed;none
0,8;0,2;-0,001;0,000;-0,001;0,000;15;dsde2;ed;none
0,5;0,0;0,000;0,000;-0,001;0,000;15;dsde2;ed;none
0,8;0,0;0,000;0,000;-0,001;0,000;15;dsde2;ed;none
0,5;0,1;0,000;0,000;-0,001;0,000;15;dsde2;ed;none
0,8;0,1;0,000;0,000;-0,001;0,000;15;dsde2;ed;none
0,5;0,2;0,000;0,000;-0,001;0,000;15;dsde2;ed;none
0,8;0,2;0,000;0,000;-0,001;0,000;15;dsde2;ed;none
0,5;0,0;-0,001;0,001;-0,001;0,000;15;dsde2;ed;none
0,8;0,0;-0,001;0,001;-0,001;0,000;15;dsde2;ed;none
0,5;0,1;-0,001;0,001;-0,001;0,000;15;dsde2;ed;none
0,8;0,1;-0,001;0,001;-0,001;0,000;15;dsde2;ed;none
0,5;0,2;-0,001;0,001;-0,001;0,000;15;dsde2;ed;none
0,8;0,2;-0,001;0,001;-0,001;0,000;15;dsde2;ed;none
0,5;0,0;0,000;0,001;-0,001;0,000;15;dsde2;ed;none
0,8;0,0;0,000;0,001;-0,001;0,000;15;dsde2;ed;none
0,5;0,1;0,000;0,001;-0,001;0,000;15;dsde2;ed;none
0,8;0,1;0,000;0,001;-0,001;0,000;15;dsde2;ed;none
0,5;0,2;0,000;0,001;-0,001;0,000;15;dsde2;ed;none
0,8;0,2;0,000;0,001;-0,001;0,000;15;dsde2;ed;none
0,5;0,0;-0,001;-0,001;0,001;0,000;15;dsde2;ed;none
0,8;0,0;-0,001;-0,001;0,001;0,000;15;dsde2;ed;none
0,5;0,1;-0,001;-0,001;0,001;0,000;15;dsde2;ed;none
0,8;0,1;-0,001;-0,001;0,001;0,000;15;dsde2;ed;none
0,5;0,2;-0,001;-0,001;0,001;0,000;15;dsde2;ed;none
0,8;0,2;-0,001;-0,001;0,001;0,000;15;dsde2;ed;none
0,5;0,0;0,000;-0,001;0,001;0,000;15;dsde2;ed;none
0,8;0,0;0,000;-0,001;0,001;0,000;15;dsde2;ed;none
0,5;0,1;0,000;-0,001;0,001;0,000;15;dsde2;ed;none
0,8;0,1;0,000;-0,001;0,001;0,000;15;dsde2;ed;none
0,5;0,2;0,000;-0,001;0,001;0,000;15;dsde2;ed;none
0,8;0,2;0,000;-0,001;0,001;0,000;15;dsde2;ed;none
0,5;0,0;-0,001;0,000;0,001;0,000;15;dsde2;ed;none
0,8;0,0;-0,001;0,000;0,001;0,000;15;dsde2;ed;none
0,5;0,1;-0,001;0,000;0,001;0,000;15;dsde2;ed;none
0,8;0,1;-0,001;0,000;0,001;0,000;15;dsde2;ed;none
0,5;0,2;-0,001;0,000;0,001;0,000;15;dsde2;ed;none
0,8;0,2;-0,001;0,000;0,001;0,000;15;dsde2;ed;none
0,5;0,0;0,000;0,000;0,001;0,000;15;dsde2;ed;none
0,8;0,0;0,000;0,000;0,001;0,000;15;dsde2;ed;none
0,5;0,1;0,000;0,000;0,001;0,000;15;dsde2;ed;none
0,8;0,1;0,000;0,000;0,001;0,000;15;dsde2;ed;none
0,5;0,2;0,000;0,000;0,001;0,000;15;dsde2;ed;none
0,8;0,2;0,000;0,000;0,001;0,000;15;dsde2;ed;none
0,5;0,0;-0,001;0,001;0,001;0,000;15;dsde2;ed;none
0,8;0,0;-0,001;0,001;0,001;0,000;15;dsde2;ed;none
0,5;0,1;-0,001;0,001;0,001;0,000;15;dsde2;ed;none
0,8;0,1;-0,001;0,001;0,001;0,000;15;dsde2;ed;none
0,5;0,2;-0,001;0,001;0,001;0,000;15;dsde2;ed;none
0,8;0,2;-0,001;0,001;0,001;0,000;15;dsde2;ed;none
0,5;0,0;0,000;0,001;0,001;0,000;15;dsde2;ed;none
0,8;0,0;0,000;0,001;0,001;0,000;15;dsde2;ed;none
0,5;0,1;0,000;0,001;0,001;0,000;15;dsde2;ed;none
0,8;0,1;0,000;0,001;0,001;0,000;15;dsde2;ed;none
0,5;0,2;0,000;0,001;0,001;0,000;15;dsde2;ed;none
0,8;0,2;0,000;0,001;0,001;0,000;15;dsde2;ed;none
0,5;0,0;-0,001;-0,001;-0,001;0,001;15;dsde2;ed;none
0,8;0,0;-0,001;-0,001;-0,001;0,001;15;dsde2;ed;none
0,5;0,1;-0,001;-0,001;-0,001;0,001;15;dsde2;ed;none
0,8;0,1;-0,001;-0,001;-0,001;0,001;15;dsde2;ed;none
0,5;0,2;-0,001;-0,001;-0,001;0,001;15;dsde2;ed;none
0,8;0,2;-0,001;-0,001;-0,001;0,001;15;dsde2;ed;none
0,5;0,0;0,000;-0,001;-0,001;0,001;15;dsde2;ed;none
0,8;0,0;0,000;-0,001;-0,001;0,001;15;dsde2;ed;none
0,5;0,1;0,000;-0,001;-0,001;0,001;15;dsde2;ed;none
0,8;0,1;0,000;-0,001;-0,001;0,001;15;dsde2;ed;none
0,5;0,2;0,000;-0,001;-0,001;0,001;15;dsde2;ed;none
0,8;0,2;0,000;-0,001;-0,001;0,001;15;dsde2;ed;none
0,5;0,0;-0,001;0,000;-0,001;0,001;15;dsde2;ed;none
0,8;0,0;-0,001;0,000;-0,001;0,001;15;dsde2;ed;none
0,5;0,1;-0,001;0,000;-0,001;0,001;15;dsde2;ed;none
0,8;0,1;-0,001;0,000;-0,001;0,001;15;dsde2;ed;none
0,5;0,2;-0,001;0,000;-0,001;0,001;15;dsde2;ed;none
0,8;0,2;-0,001;0,000;-0,001;0,001;15;dsde2;ed;none
0,5;0,0;0,000;0,000;-0,001;0,001;15;dsde2;ed;none
0,8;0,0;0,000;0,000;-0,001;0,001;15;dsde2;ed;none
0,5;0,1;0,000;0,000;-0,001;0,001;15;dsde2;ed;none
0,8;0,1;0,000;0,000;-0,001;0,001;15;dsde2;ed;none
0,5;0,2;0,000;0,000;-0,001;0,001;15;dsde2;ed;none
0,8;0,2;0,000;0,000;-0,001;0,001;15;dsde2;ed;none
0,5;0,0;-0,001;0,001;-0,001;0,001;15;dsde2;ed;none
0,8;0,0;-0,001;0,001;-0,001;0,001;15;dsde2;ed;none
0,5;0,1;-0,001;0,001;-0,001;0,001;15;dsde2;ed;none
0,8;0,1;-0,001;0,001;-0,001;0,001;15;dsde2;ed;none
0,5;0,2;-0,001;0,001;-0,001;0,001;15;dsde2;ed;none
0,8;0,2;-0,001;0,001;-0,001;0,001;15;dsde2;ed;none
0,5;0,0;0,000;0,001;-0,001;0,001;15;dsde2;ed;none
0,8;0,0;0,000;0,001;-0,001;0,001;15;dsde2;ed;none
0,5;0,1;0,000;0,001;-0,001;0,001;15;dsde2;ed;none
0,8;0,1;0,000;0,001;-0,001;0,001;15;dsde2;ed;none
0,5;0,2;0,000;0,001;-0,001;0,001;15;dsde2;ed;none
0,8;0,2;0,000;0,001;-0,001;0,001;15;dsde2;ed;none
0,5;0,0;-0,001;-0,001;0,001;0,001;15;dsde2;ed;none
0,8;0,0;-0,001;-0,001;0,001;0,001;15;dsde2;ed;none
0,5;0,1;-0,001;-0,001;0,001;0,001;15;dsde2;ed;none
0,8;0,1;-0,001;-0,001;0,001;0,001;15;dsde2;ed;none
0,5;0,2;-0,001;-0,001;0,001;0,001;15;dsde2;ed;none
0,8;0,2;-0,001;-0,001;0,001;0,001;15;dsde2;ed;none
0,5;0,0;0,000;-0,001;0,001;0,001;15;dsde2;ed;none
0,8;0,0;0,000;-0,001;0,001;0,001;15;dsde2;ed;none
0,5;0,1;0,000;-0,001;0,001;0,001;15;dsde2;ed;none
0,8;0,1;0,000;-0,001;0,001;0,001;15;dsde2;ed;none
0,5;0,2;0,000;-0,001;0,001;0,001;15;dsde2;ed;none
0,8;0,2;0,000;-0,001;0,001;0,001;15;dsde2;ed;none
0,5;0,0;-0,001;0,000;0,001;0,001;15;dsde2;ed;none
0,8;0,0;-0,001;0,000;0,001;0,001;15;dsde2;ed;none
0,5;0,1;-0,001;0,000;0,001;0,001;15;dsde2;ed;none
0,8;0,1;-0,001;0,000;0,001;0,001;15;dsde2;ed;none
0,5;0,2;-0,001;0,000;0,001;0,001;15;dsde2;ed;none
0,8;0,2;-0,001;0,000;0,001;0,001;15;dsde2;ed;none
0,5;0,0;0,000;0,000;0,001;0,001;15;dsde2;ed;none
0,8;0,0;0,000;0,000;0,001;0,001;15;dsde2;ed;none
0,5;0,1;0,000;0,000;0,001;0,001;15;dsde2;ed;none
0,8;0,1;0,000;0,000;0,001;0,001;15;dsde2;ed;none
0,5;0,2;0,000;0,000;0,001;0,001;15;dsde2;ed;none
0,8;0,2;0,000;0,000;0,001;0,001;15;dsde2;ed;none
0,5;0,0;-0,001;0,001;0,001;0,001;15;dsde2;ed;none
0,8;0,0;-0,001;0,001;0,001;0,001;15;dsde2;ed;none
0,5;0,1;-0,001;0,001;0,001;0,001;15;dsde2;ed;none
0,8;0,1;-0,001;0,001;0,001;0,001;15;dsde2;ed;none
0,5;0,2;-0,001;0,001;0,001;0,001;15;dsde2;ed;none
0,8;0,2;-0,001;0,001;0,001;0,001;15;dsde2;ed;none
0,5;0,0;0,000;0,001;0,001;0,001;15;dsde2;ed;none
0,8;0,0;0,000;0,001;0,001;0,001;15;dsde2;ed;none
0,5;0,1;0,000;0,001;0,001;0,001;15;dsde2;ed;none
0,8;0,1;0,000;0,001;0,001;0,001;15;dsde2;ed;none
0,5;0,2;0,000;0,001;0,001;0,001;15;dsde2;ed;none
0,8;0,2;0,000;0,001;0,001;0,001;15;dsde2;ed;none
